"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,9.02499999999964,17
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,10,15,28
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,8,15,23,34.0100000000002
5,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,13,21,30,44.0100000000002
6,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,9,11,14,19,28,36,49
7,0,0,0,0,1,1,2,2,3,4,5,6,7,8,10,12,14,17,20,26,36,48,63
8,0,0,0,1,2,3,4,5,7,8,9,11,12,14,16,19,22,25,30,37,48,60,74.0100000000002
9,0,1,2,4,6,7,9,10,12,14,15,17,19,22,24,27,30,35,41,48,62,77,97.0100000000002
10,1,3,5,8,11,13,15,18,20,22,25,27,30,33,36,39,43,48,54,63,78,93,115
11,5,8,11,15,19,22,25,28,31,34,37,40,43,47,50,55,60,65,72,82,100,119,143
12,11,15,20,26,30,34,38,42,45,49,52,55,59,64,68,74,80,86,95,106,126,144.025,176
13,19.99,26,32,39,45,50,55,59,63,68,73,77,81.4500000000003,86,91,97,104,111,121,134,156.05,180,217
14,33,40.975,49,59,66,72,78,82,87,92,97,103,108,113.4,119,126,134,143,155,169,193,218.025,257
15,52,62,72,84,93,100,107,112,118,124,130,135,141,147,155,162,171,181,192.15,210,238,260,293.02
16,78.99,89,100,115,124,133,141,147,154,161,167,174,181,188,195,203,213,226,238,255,283,311,356
17,102,119,133,149,160,171,181,188,196,203,211,218,225,233,241,251,262,275,289,308,338.05,373,413.01
18,133,155,172,188,202,212,221,230,238,247,254,262,271,280,288,298,310,322,337,358,395.05,427.025,468.050000000001
19,169.99,191,208,230,246,257,268.75,278,286,295,304,314,323,332,342,354,366,379,395,414,450.05,483,529.02
20,207.99,232,249,274,291,303,314,324,335,343,353,362,372,382,392,403.3,416,430,447,467,506,545,587
21,239,263,281,308,326,342,355,367,377,387,397,406.5,417,428,439,453,466,481,499,523,561.05,599,641.01
22,256,282,305,336,355,371,384.75,397,408,419,430,440,451,462,474,487,502,518,536,559,601,642,684.01
23,272,303,329,356,376,392,406,419,431,443,454,464,475,486,498,510,524,538,560,586,630,669,711
24,274,304,330,358,381,399,413,425,438,449,461,473,485,496,508,522,535,551,572,598,637.05,676.025,716.02
25,271,296.975,322,353,372,389,403,416,430,442,454,465,475,487,499,512,527,543,561,585.1,625,660,704.02
26,258,280,306,336,358,372,385,399,410,421,433,445,455,467,479,491,505,521,539,565,601,636,677
27,233,259.975,285,314,331.85,347,360,371,383,394,405,414,425,435,445,457,471,485,503,527,563,596,639
28,200.99,227,251.95,280,297,310.8,322,333.7,344,354,364,374,383,394,406,418,431,445,461,483,522,550.025,593
29,178.99,202,221,244,259,271,283,293,302,312,322,331,341,350,359,370,382,394,411,432,465,504,555
30,146,167,185,204,220,232,241,251,259,268,276.55,284,293,303,313,322,332.25,347,362,381.1,420,448.025,495
31,115,134,151,170,183,194,202,211,219,227,235,242,249,258,266,275,284.25,297.2,312,331,361,388,422.01
32,91.99,106,122,138,149,159,167,175,182,190,197,203,210,218,226,234,245,254,268,287,317,344,385
33,71,85,96,110,120,129,136,143,149,156,162,170,176,182,190,198,206,217,230,247.1,274.05,300,339.01
34,52,62,73,85,93,101,107,114,120,126,132,137,143,149,155,162,171,180,193,211,238,262,294
35,37,45,53,64,72,78.8,85,90,96,101,107,112,117,123,129,135,143,151,163,179,202,227,263
36,25,32,39,49,55,61,66,70,75,80,85,89,94,99,104,111,118,126,136,151,177,198.025,233.01
37,16,22,27,35.9,41,45,50,54,58,62,66,70,75,80,85,91,97,105,115,127,148,168.025,195
38,9,14,19,25,30,34,38,41,45,49,53,56.5,60.4500000000003,65,70,75,81,87,95,107,125,144,180.01
39,5,9,12,18,22,25,28,31,34,37,40,43,47,51,55,59,65,71,79,89.1000000000004,108,126.025,153
40,3,5,8,12,15,18,21,23,26,29,31,35,38,41,44,48,53,58,65,76,94,109,137
