"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.02499999999964,36.0300000000007
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,68.0200000000004
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53.0100000000002
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,61
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,55.0100000000002
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,64.0100000000002
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500000000001819,14.0249999999996,78.0200000000004
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,55.0100000000002
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,72
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0249999999996,71.0100000000002
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,65
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,67.0100000000002
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,77.0100000000002
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,98.0100000000002
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05000000000018,38.0499999999993,110
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,51,140
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,60,169.01
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,34,91.0249999999996,217.01
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,50,115.025,250.02
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,19,65,124,238.02
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,27,74,155,289
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.25,8.19999999999982,18,40.1000000000004,100,186,352.01
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,17,32,64,135.05,242.025,384.01
25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,13,24,42,77,157.05,274.074999999999,413.01
26,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,16,26,41,68,111.1,210,326,484
27,0,0,0,0,0,0,0,0,0,1,1,3,5,8,14,22,32,51,77,122,232.05,352.074999999999,533.030000000001
28,0,0,0,0,0,0,0,0,1,2,4,7,10,15,24,34,51,73,104,160,269,385,542.01
29,0,0,0,0,0,0,1,2,3,5,8,12,18,26,37,52,71,97,132,194,305.150000000001,433.124999999998,606.060000000001
30,0,0,0,0,0,1,3,5,8,12,17,24,32,42,55,72,94,121,162,230.1,356,499,677.02
31,0,0,0,0,2,3,6,10,14,20,28,37,49,63,80,100,123,157,204,271,403.150000000001,565.025,768.02
32,0,0,0,2,4,8,13,19,26,34,44,57,72,90,110,137,167,206,263,341,492.05,644.099999999999,859.02
33,0,0,1,5,9,15,22,30,40,51,63,79,97,118,142,169,203,248,312,394,539.150000000001,686.025,905.01
34,0,1,3,9,18,28,38,50,63.6500000000001,78,95,114,136,160,188,221,258,302,366.15,457.1,629.05,809.124999999998,1030
35,1,4,9,20,31,44,59,76,94,112,133.55,156,180,206,236,273,317,372,438,533,696.150000000001,875,1117.03
36,3,8,16,34,51,71,90,110,133,156,181,208,237,269,304,346,397,454,529.15,639,835,1044.075,1267.01
37,8,18,33,59,85,111,136,160,183.65,212,244,274,305,343.4,382,429.3,486,557,641.15,772.1,974.05,1193.025,1484
38,18,32,54.95,91,122,154,182,212,246,277,310,349,386.45,431,483,535.3,599.25,677,767,889,1111,1335,1601.01
39,31,60,89,137,177,218,254,289,327,363,402,445,491,541,594,654,717,800.2,902.15,1055,1298.05,1526,1804.02
40,74,106,144.95,208,263,307.8,355,399,443,486,527,574,625,675.4,738,805,878.25,971,1085,1250,1509.05,1780.175,2087.01
