"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,7.1120859672779,14.5370626074052,21.4675434679811,29.936826219616,38.2016249224996,46.9448782751975,57.4650880445108,72.2899385307346,92.8122457126831,110.049786854653,129.147809039727
3,0,0,0,0,0,0,0,0,0,0,0,0.849833148852825,7.59630795395263,14.6098708031169,22.0635686943179,29.6265209706194,37.6404373318937,46.5685659209785,58.4802656707373,72.8882623180735,92.4229491524601,111.146160241533,132.460096405748
4,0,0,0,0,0,0,0,0,0,0,0,1.98378322072362,8.61583220506418,16.2251903289905,23.6118424126917,30.9208249891392,39.9063875026381,48.8757178650492,58.7622258334628,72.0570843017902,91.4514899623197,109.606067803664,131.543461938876
5,0,0,0,0,0,0,0,0,0,0,0,0.714763555637509,8.38872252833457,15.628083585459,22.847138522137,31.3120535643097,39.4874962169443,49.0229868090509,59.8648209183024,72.3225296052899,93.6643064750963,111.438621758038,133.947187592129
6,0,0,0,0,0,0,0,0,0,0,0,1.48079814667754,9.15064848140544,16.4166734266355,23.6047585680067,30.7587883941339,37.8479029104722,46.6194526152408,59.1086069348185,73.0252373857894,94.3923762084462,112.64608823194,130.097522422777
7,0,0,0,0,0,0,0,0,0,0,0,2.86646700477333,10.2334484940721,16.720783572035,24.4913022611756,31.9936460848877,40.5181545920478,50.2575646447426,60.7745734770952,75.2871462395838,95.5184665866654,116.489964423422,138.079250095506
8,0,0,0,0,0,0,0,0,0,0,0,5.84851911207689,13.1715191904741,20.1063789787049,27.7303312591211,35.7334946734773,44.7948581097383,53.4951856342304,63.8686523158537,78.5866892749793,98.9316688941649,117.042798217087,137.614859770262
9,0,0,0,0,0,0,0,0,0,0,0.492480017944667,7.44522829860474,15.2891948410472,22.8317588808263,30.6800141491569,38.3408857052729,46.0237478244372,54.9280376389119,65.8264125243661,78.3005049946374,97.0405329350589,115.361616798774,139.504242071644
10,0,0,0,0,0,0,0,0,0,0,3.90846400291143,10.3418915234367,17.1174128955424,24.3899930066983,31.2642536542913,39.3953101640777,48.1602856237462,57.3032506348782,69.3355254022275,81.862869267326,101.14048344544,116.329527689693,137.825104743377
11,0,0,0,0,0,0,0,0,0,2.00055643576212,9.30028720948033,15.9259913114978,22.9384265119056,29.9746673333447,37.0589523572221,45.0428299368431,53.6575255314743,63.0843881656592,73.6409019543248,87.1157898557749,107.211770549413,124.423339384707,142.203999143875
12,0,0,0,0,0,0,0,0,2.98126614657546,10.6364448980912,17.346636962487,24.3616583111081,30.976472965605,37.540722230741,44.3682828720984,51.6601680097816,60.4839937331643,70.2028478339506,81.5223499723171,94.9315427047823,115.75155729899,134.418715076624,155.650951222811
13,0,0,0,0,0,0,0,4.23158757396744,11.8606426202942,19.4772463856241,26.622941657299,33.2686968345844,40.0128942671602,48.0974682690677,55.7684524994056,63.7544041572591,72.7087861767754,81.5668023892843,92.7636446473697,106.228495592262,125.016074860211,143.281466452823,168.113818531723
14,0,0,0,0,0,2.13755231980585,12.0218045357801,20.3444222790812,28.513024673935,35.7286015511684,43.2571419727548,50.4918358449944,57.3708414637499,64.0572480894935,71.0138218665477,79.2572527337846,87.4464605722488,97.615730687352,108.332858077671,122.085325113228,141.607460231738,158.966583716673,180.737486346506
15,0,0,0,0.00881338085152478,14.4264357704079,25.9236976402115,34.6729192158505,42.6950569516221,50.230643910262,57.728025504617,65.2334751856173,72.0777328107827,79.5196602041824,86.8808547091064,94.550041411119,101.74438499147,111.043019710162,119.551682037843,130.609353822007,144.246883704941,165.676634162499,183.212383189762,205.398028289488
16,0,0,9.94709417004089,31.9176023152452,45.0153586772971,56.9097348337919,65.9862713732416,74.2166823698008,82.1773767517014,89.853331921708,96.4783165939055,103.071852484837,110.824716189561,117.529528910413,124.535090830653,132.097178005175,140.602697308135,150.448501508128,161.41465075032,175.712779903072,195.688823325004,213.229179591735,233.32450505102
17,14.5852018352751,34.2975180635887,51.2084908808849,71.637995129574,85.9269328338732,97.2189997246712,107.02335777078,115.787210909049,124.323990780136,132.105904261247,139.300460867756,146.753258930481,154.331043038239,161.422937972064,169.45098656133,176.46620259099,185.282407359698,195.282911249672,206.132609824717,220.622883456219,240.734902783792,256.453995282618,277.786501661939
18,70.6249289861203,90.3403127931127,108.132887433769,128.969250243296,143.776594018723,154.093333210938,163.814207013177,172.585504327944,180.344252599542,188.337490649259,195.609295302057,202.88289530334,209.843803306522,217.781208609348,225.577417255741,233.661735592093,241.959062912067,251.087572056816,262.259114255203,275.969578413752,297.217890015917,315.228622661905,337.278123947205
19,139.216982502145,160.68861547196,180.088488057342,201.240787539273,215.53841822115,226.909181779873,237.32720575259,245.863174185878,253.118300203778,260.525929288568,267.615839368996,274.440643082948,281.832204463273,289.630579343325,297.183522306404,305.986987534227,314.585532095639,324.554539221766,336.093107581248,350.050837979708,371.39120589404,389.567060934232,412.083045816863
20,224.547814531772,246.315113428969,263.304491421821,284.603670578131,298.080679681831,309.470991791585,319.461639469501,328.030317934332,335.966862191795,344.473796653191,351.744199022287,359.24254220028,366.678857735056,374.523902795725,382.583064834395,390.492644322124,399.799287137498,408.958005009802,420.988467258758,435.341574196156,456.957778145015,475.898671416438,496.93779375638
21,312.69450261092,335.020730765855,351.852828134555,372.510631392331,386.875170682501,396.940705938299,407.829073470137,416.333087191177,424.78623522427,432.72323467229,440.665664677336,447.937622334675,454.69939677481,462.192372598006,470.766044734254,478.864110666196,488.178456164907,498.109122760522,509.67092351135,525.510146484534,549.084821693537,571.361144396064,591.28943107663
22,388.472775104174,409.506518981838,429.113229662876,452.933639810122,466.44265370323,478.521803072715,488.584045667165,498.292351424845,506.27311372226,513.74106241598,522.093040081102,529.362445130485,536.703285259447,544.343916680985,552.5405430438,559.909795360402,570.204691209047,580.636425257283,591.993424656038,608.814336080075,631.301747308968,651.582424195661,675.38365379966
23,444.165974826579,465.473883139953,484.947546636272,507.172221142492,522.234963028637,534.180048897066,543.691935445568,552.869607598277,560.691899928781,568.741644567227,576.528548879872,584.47998619052,592.61036838731,600.85346828888,609.106845957052,617.436005134317,626.408779750866,636.653318801324,648.133331691684,663.506274583831,686.35178337464,705.742787835051,727.180809678396
24,459.593507848884,483.340025093523,502.217939833464,524.242864810435,538.564945172187,550.980159279166,561.279644727284,569.976657171836,577.869071776884,585.874281093805,593.030090554962,601.192468507068,608.080631773253,615.140605628302,623.650688853284,632.071747728925,641.284991390941,650.862265244898,662.189001412869,675.824356252751,696.524204445753,716.253530079211,739.754779298435
25,432.018453970395,452.587468023815,473.396193688227,495.993673137424,510.377058069331,521.4699561764,530.627718510152,540.066623406993,548.495416603189,556.753444627072,563.510237998997,571.482175390513,579.223830419027,587.468208325375,596.250613644865,605.717036616359,615.824285559914,625.698236835875,637.329459058578,652.684462906197,672.853968221712,692.33951132843,713.362859954414
26,361.886691138903,385.918213922002,405.039214850593,428.451664461336,443.447567620779,456.166197123744,466.846221292046,475.842547446572,484.674708728427,492.214833450374,499.589596873647,507.730103071547,515.582822404173,522.653515256715,530.73126982922,539.501321035386,548.255653828607,557.907988918501,569.697530107502,586.07811416527,607.606374682718,624.957944452389,647.533984213956
27,275.979434032787,302.157300155631,322.421678147982,343.846673776855,358.721120259288,370.522952849359,381.58480388132,390.198584156332,398.888434604209,406.62229130057,414.398551025469,422.457698629043,430.207744985035,438.078694852256,447.159453079226,455.589782403315,465.076954535783,474.917588239803,487.934319042094,502.209468154582,523.815907236297,542.957352445055,568.645842709787
28,188.590356281255,214.124471907608,234.728174445689,254.965729193748,270.028820287106,281.34774016184,292.267586976915,301.219226938067,310.156486494528,318.514836447055,326.086358875644,333.956926506642,341.321028111381,349.00575449767,357.29830752724,365.381034226413,375.238481441588,385.97128082703,397.714555565833,412.987128137143,432.869300133117,453.621897288309,473.971472688075
29,111.31755721465,132.611695604997,154.202421052955,176.664905443089,191.471927199035,202.524670114892,211.957203123812,220.564292686903,228.557184571905,235.771471747736,243.766678457361,250.608265689874,257.802664677033,265.002269628475,273.321652482452,282.088574680349,291.906448455201,301.437638595576,312.913995473216,327.925625968577,349.921029941405,368.161930934441,387.806860091445
30,44.7864832219583,66.7228226443237,86.5221848672559,109.980811039674,124.266957309475,136.506585319103,146.432637761909,154.988912618609,163.082704214738,171.251401698507,178.54948070795,185.815779974942,192.928968035942,201.106949482345,208.371197718799,216.319063550504,224.975203000188,235.895901329906,247.512660840083,262.524958476813,283.832839858406,300.950404186794,319.866310637847
31,0,15.6192700920841,34.2704002515251,58.1460274893711,72.5536204693065,83.9622282904627,94.1054753305354,103.46127945664,110.973294963057,119.029687521537,126.207745184441,133.429383231674,140.025082841628,147.415553462604,154.420081795412,162.746461331791,172.170464589723,181.572704617734,192.253587428348,205.077111659246,226.492637485237,245.21732287218,268.515819053896
32,0,0,0.659598573733117,20.6787062561946,34.8081910829992,46.790007260692,55.7157339566402,64.6425589747093,72.5149773867714,79.5668848757566,86.8481431169155,94.572123257068,101.52578446195,108.669222838854,116.100705889017,124.147606358416,131.900707970937,142.380900629286,153.293435642131,168.555687886453,190.399222929999,208.557484004996,230.691176509845
33,0,0,0,0,6.96416811598824,18.1601712818757,27.9552856099606,36.6937699888268,44.3725982451619,52.0288470511908,59.7557049898811,67.0996346896451,73.6640266434443,80.5577480240123,87.8751444310868,95.5930405054215,103.803697637594,112.355316580208,123.069750674554,136.638316645503,158.880322388327,175.403742585075,196.153932461799
34,0,0,0,0,0,0,7.11622171034418,15.6062519341217,23.2153663957286,30.8168006058036,37.4444993837596,44.5463903433012,52.0999570349705,59.1613455527221,66.0134385528101,73.4155487600397,81.9853302197143,91.537658328424,102.109394499384,114.913148635868,135.304744520482,153.754564508515,176.178469844566
35,0,0,0,0,0,0,0,0,7.37222264185293,14.6523149832715,22.5606622064084,29.7159762860122,37.174202367199,44.627015929315,52.0521672439174,59.7241434109228,67.8236059941238,77.7739492795313,90.1510851928564,102.441284625352,120.978098524506,138.680918770494,158.357364046849
36,0,0,0,0,0,0,0,0,0,7.5360148190551,14.7323175105508,21.382660072386,28.3266431268468,35.480499789319,42.5520031238362,50.9312312537688,59.3155058653183,68.9558368023152,79.0613012948314,93.3755595883434,114.709067416613,132.832192299863,155.03497528159
37,0,0,0,0,0,0,0,0,0,1.41315642322325,8.22824853005956,15.2536939367538,21.5448140103772,28.7128652456314,35.9033426630691,43.4808455269687,51.9167203890197,62.1401184325856,73.0062523403231,86.4849676031557,105.910239106222,126.672835604937,150.497435590832
