Q_0.010,Q_0.025,Q_0.050,Q_0.100,Q_0.150,Q_0.200,Q_0.250,Q_0.300,Q_0.350,Q_0.400,Q_0.450,Q_0.500,Q_0.550,Q_0.600,Q_0.650,Q_0.700,Q_0.750,Q_0.800,Q_0.850,Q_0.900,Q_0.950,Q_0.975,Q_0.990
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,8,9,11
0,1,1,2,2,3,3,4,4,4,5,5,5,6,6,7,7,8,8,9,10,12,13
1,2,3,4,4,5,5,6,6,7,7,8,8,8,9,9,10,11,12,13,14,16,19
3,4,5,6,7,8,8,9,10,10,11,11,12,12,13,13,14,15,16,17,19,21,23
6,7,8,10,11,12,12,13,14,14,15,16,16,17,18,19,19,20,22,23,26,28,31
10,11,13,15,16,17,18,19,19,20,21,22,23,23,24,25,26,27,29,31,33,35,39
15,17,19,21,22,23,24,25,26,27,28,29,30,30,31,32,33,35,36,38,41,45,48
20,23,25,28,29,31,32,33,34,35,36,37,38,39,40,42,43,44,46,48,51,54,58
27,30,33,36,38,39,40,42,43,44,45,46,47,49,50,51,52,54,56,58,62,65,70
34.5,37,40,44,46,48,49,51,52,53,54,55,56,58,59,60,62,64,66,68,72,76,79
41,45,48,51,54,56,57,59,60,61,62,64,65,66,67,69,71,72,74,77,82,85,90
46,50,54,57,60,62,63,65,66,68,69,71,72,73,75,76,78,80,82,85,89,93,98
51,54,57,61,64,66,68,69,71,72,74,75,76,78,79,81,83,85,87,90,94,98,103
51,55,59,62,65,67,69,71,72,74,75,76.5,78,79,81,82,84,86,88,91,96,101,106
49,53,57,61,63,66,67,69,70,72,73,75,76,78,79,81,82,84,87,89,94,98,104
46,49,53,57,59,61,63,65,66,67,69,70,71,73,74,76,78,79,82,85,89,94,100
40,44,47,51,53,55,57,58,60,61,62,64,65,66,68,69,70,72,74,77,81,85,90
35,37,40,44,46,48,49,51,52,53,55,56,57,58,59,61,62,64,66,68,72,76,81.5
27,31,34,37,39,40,42,43,44,45,46,47,49,50,51,52,54,55,57,59,63,66,70
23,25.5,27,30,31,33,34,35,36,37,38,39,40,41,42,43,45,46,48,50,54,57,61
17,19,21,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,42,45,48,51
12,14,16,18,19,21,22,23,23,24,25,26,27,28,28,29,30,32,33,35,37,40,44
9,10,12,14,15,16,17,18,18,19,20,20,21,22,23,23,24,25,27,28,31,34,37
6,7,9,10,11,12,13,14,14,15,16,16,17,18,18,19,20,21,22,23,26,29,31
4,5,6,7,8,9,10,10,11,11,12,13,13,14,14,15,16,17,18,19,21,23,26
2,3,4,5,6,7,7,8,8,9,9,10,10,11,11,12,13,13,14,15,17,19,22
1,2,3,3,4,5,5,6,6,7,7,8,8,9,9,10,10,11,12,13,15,16,19
0,1,2,2,3,3,4,4,5,5,5,6,6,6,7,7,8,9,9,10,12,14,16
0,0,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,7,8,9,10,12,14
