"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,8,11,15
3,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,4.25,5,6,8,10,13,16
4,0,0,0,0,1,1,1,2,2,3,3,3,4,5,5,6,7,8,9,10,13,16,21
5,0,0,0,1,2,2,3,3,4,4,5,5,6,7,7,8,9,10,11,13,16,19,24
6,0,1,1,2,3,4,5,5,6,7,7,8,9,10,10,11,13,14,15,17,21,24,29
7,1,2,3,5,6,7,7,8,9,10,11,12,13,14,15,16,17,19,21,23,27,31,36
8,3,4,6,8,10,11,12,13,14,15,16,17,18,19,21,22,23,25,27,30,35,39,45
9,6,8,10,13,15,16,18,19,20,21,23,24,25,27,28,30,31,33,36,39,44,49,56.0100000000002
10,10,13,16,19,22,24,25,27,28,30,31,33,34,36,38,40,41,44,46,50,56,62,71
11,16,20,23,27,30,33,35,36,38,40,42,43,45,47,49,51,53,56,59,63,70,76,84.0100000000002
12,24,28,32,37,40,43,46,48,50,52,54,56,58,60,62,65,67,70,74,79,87,94,102
13,33,37,42,48,52,55,58,60,62,64,67,69,71,73,76,78,81,85,88,93.1000000000004,102,109,118.01
14,40,46,51,57,61,64,67,70,73,75,78,80,83,85,87,90,93,97,101,107,115,123,134
15,46,52,58,64,68,71,74,77,79,82,84,87,90,92,95,98,101,105,109,115,124,133,142.01
16,46.99,53,59,66,70,73,76,79,82,85,87,90,93,95,97,100,104,108,112,118,127,135,146
17,44,51,56,62,67,70,73,75,78,81,83,86,88,91,93,96,100,103,108,113,122,131,141
18,40,45,49,55,59,62,65,68,70,73,75,77,79,82,84,87,90,94,98,104,112,120,130
19,31,36,40,45,48,52,54,56,59,61,63,65,67,70,72,75,78,81,85,90,98,104,115
20,23,27,30,34,38,40,43,45,47,49,50,52,54,57,59,61,64,66.1999999999998,70,75,83,90,102
21,15,19,22,25,28,30,32,34,36,38,39,41,43,45,47,49,51,54,57,61,68,75,84
22,9,12,14,17,19,21,23,24,26,27,28,30,31,33,35,36,39,41,44,47,54,59,67
23,5,7,9,11,13,14,16,17,18,19,21,22,23,24,26,28,30,32,34,37,42,47,53
24,2,3,5,7,8,9,10,12,13,13,15,16,17,18,19,20,22,23,26,29,34,39,46
25,1,2,2,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,19,22,26,30,35
26,0,0,1,2,3,3,4,5,5,6,7,7,8,9,10,11,12,13,14,17,20,24,29.0100000000002
27,0,0,0,1,1,2,2,3,3,4,4,5,5,6,7,7,8,10,11,13,16,20,24
28,0,0,0,0,0,1,1,1,2,2,3,3,3,4,5,5,6,7,8,10,13,16,20
29,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6,7,10,12,16
