"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,0.479623116562136,1.65062390942283,2.76168319592726,3.84886499877914,4.93474702518316,6.06930720196821,7.20638767484541,8.52390233268167,9.67108686107691,11.1668094679085,12.8254305618626,15.0958586364603,18.0338582619443,20.9291308235578,24.1614144174221
3,0,0,0,0,0,0,0.578911455093232,1.86812057628971,2.96416873243499,4.09476265568163,5.15733185514828,6.26059887424844,7.28436873006288,8.45325940079151,9.60240313719194,10.8561842356528,12.2038752733043,13.6042426192892,15.3181769992087,17.3734399861035,20.684229017813,23.4496628016737,26.541137953893
4,0,0,0,0,0,1.72514743860985,3.25605020647432,4.52159919949139,5.71857677305927,6.79236875044642,7.90876775504135,8.99035575615219,10.0648548264494,11.1911314427231,12.4532452478956,13.6885936212691,15.1395151454722,16.6234375482049,18.3727224932779,20.4046561963542,23.5578083427592,26.193749801646,29.3537519159772
5,0,0,0,2.13490640900493,4.47383397601552,5.98909773338954,7.56105520278461,8.87004260574685,10.1226486693444,11.3566697029178,12.436011795129,13.5807944343508,14.7410570764884,15.7483228411541,16.9279335957429,18.2767319647013,19.6125914871372,21.0440063030487,22.8047029964574,25.0907613742522,28.3751160298936,31.0652947588699,34.3159820007572
6,0,1.5308084512926,4.24580612222633,7.32001215614117,9.42217714713864,11.1310710994407,12.5661138228088,13.9626696106103,15.1712217146291,16.3208435263938,17.484566623994,18.6170951878216,19.6431499796929,20.8190282932725,22.0850065982906,23.2322480278067,24.6065321317962,26.1274889186769,27.7190138525063,29.8986984332808,33.115397051231,36.1263011327191,39.7102192148002
7,4.20301599419274,7.5257239878339,10.2610447054443,13.7680653442126,15.9177482477839,17.7341374420377,19.2230163173802,20.5432829175636,21.8690143741796,22.9651223268011,24.1371386529477,25.2750400379146,26.4887675573243,27.5889277215934,28.7129045299443,29.9411075297343,31.2520019282038,32.7087746653,34.2895218683733,36.6176057391908,40.2258576281476,43.1761531126981,46.9671874504993
8,11.58868934986,14.824381858284,17.8470963415396,21.0962949558842,23.3298692653591,25.0025596592185,26.7081696046761,28.0104626144071,29.3715038377204,30.5322785081216,31.7279638932008,32.8956039034016,33.9831098256076,35.0708809615659,36.2348544976915,37.3996998242162,38.7575029763645,40.3667469886218,42.0850125382172,44.3362960222701,47.7514210918811,50.6166554036232,54.1639884882251
9,19.7574424470617,23.2075231402052,26.206436912519,29.6554974049865,31.8605627808512,33.671689163434,35.1755060597904,36.6248807611093,37.8417197238223,39.1361122518392,40.3762787437921,41.5154975132281,42.7490746034829,43.9845425357919,45.2457840446438,46.5163135389465,47.7715525620196,49.1848685106695,50.9099572830742,53.2807576221269,56.9224136162891,60.2159481333513,63.4069862862461
10,29.316868042089,32.5913083684872,35.2470196623973,38.5534251894443,40.7357336608529,42.5411244492618,44.0583745913943,45.4011973583621,46.6813794623119,48.0821727779295,49.214512803361,50.3502736137395,51.6739576411567,52.9370034940225,54.1640730844741,55.3294348289693,56.9253648239647,58.4346233605669,60.3168599882217,62.6731033407766,65.989603257447,68.9111332714798,72.2603644399435
11,37.6370181371706,40.9454520418262,43.6721385470208,47.200153611101,49.312453220337,51.0439625468161,52.5520144373283,53.9940233349454,55.3653573628905,56.5255517065166,57.7561379220104,58.9732952277212,60.0875357825946,61.3002435914953,62.5474925107625,63.8356819360467,65.2688156872741,66.9359032866855,68.8523735530359,70.9505080059515,74.0857727936609,77.2711526714084,80.8610867721038
12,44.5862113974239,47.8650232559875,50.7939287869888,54.0375523160859,56.4439411641826,58.320971588402,60.0843756782062,61.4742354592714,62.708732043352,63.8381961889491,65.0322418393977,66.2404695105688,67.3765409741614,68.6129141437523,69.8916606055665,71.2992967734169,72.7042244964047,74.2282670776555,76.1714812468325,78.3950047006193,81.8175482798636,84.8374560113967,88.3905709274326
13,50.2679381367812,54.0088872494606,56.6056096266998,60.1258702354624,62.218731892503,63.9684966022169,65.6076047083679,67.0465499940938,68.3451701772412,69.5731521429598,70.747992466909,71.910221398679,73.0963130404919,74.4261027139533,75.725146237495,77.0168661333666,78.3873025281788,79.9942461980542,81.9759068609452,84.3559113216643,87.84485506706,90.6689938110503,94.8239700319544
14,53.7253209438625,57.0826930218868,59.80663652664,63.2129620448765,65.3662150611736,67.1989285591962,68.7659426677314,70.2290951761345,71.507992948358,72.6886630038442,73.9637731965843,75.15634439976,76.2161706262281,77.4762651777456,78.9312149177205,80.2578925971957,81.7685275080917,83.3141461046835,84.9701032989684,87.2199826327742,90.6704865935679,93.8339438401639,97.9447895625473
15,52.7965374618584,56.0589124377841,59.2441248256471,62.9715832803064,65.5278140855186,67.3258405940008,68.9015280822061,70.2343669773186,71.6311560846432,72.8693804528743,74.0965604351852,75.3150952646452,76.4713577590452,77.8056810821537,79.0599484466951,80.3323349185083,81.7224771532457,83.3908527178425,85.2416869570292,87.6008682359683,90.8977988289574,94.0391645461607,97.3559977040248
16,51.34633533639,54.1031210577757,57.4073399630863,60.694061220562,62.9586092046354,64.8355814579607,66.3774551178814,67.9449314853268,69.2738687774107,70.54654553014,71.7910896405416,73.0118888895252,74.2315395150076,75.4725704444944,76.7392043259135,78.0759266128114,79.5181740854388,81.1213883055179,82.9887869349595,85.1321202837617,88.6091221070341,91.7783446254827,95.3709177738273
17,47.1532848196794,50.1688650664043,53.358887144829,56.8107114403659,59.0451909506063,60.9171821714906,62.3406251306901,63.6960483904095,65.0103707764065,66.131128524111,67.3691940573912,68.3960131869266,69.4185915784019,70.6766015388977,71.9316880499236,73.3404727244768,74.7074329252101,76.2585873962149,78.1343302555028,80.6164795891658,83.632285485852,86.5055872619622,90.5109180039769
