"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,73.0100000000002
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.02499999999964,72.0100000000002
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0249999999996,82.0200000000004
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,60.0100000000002
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0249999999996,51.0100000000002
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,61.0100000000002
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0249999999996,65
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.02499999999964,54.0100000000002
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0249999999996,73.0100000000002
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0249999999996,79
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20.0249999999996,84.0100000000002
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,90.0100000000002
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,105.01
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,44,132.01
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,61,147.030000000001
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,75.0249999999996,170.01
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,41,105,218.040000000001
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,52.0500000000002,113.025,230.02
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,24,70.0500000000002,139.025,246.070000000002
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,15,36,89,167.049999999999,299.01
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,24,48,122.05,199.049999999999,345.110000000002
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,14,31,60,133,228.049999999999,362.02
24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,15,25,46,82,159,252.049999999999,402.030000000001
25,0,0,0,0,0,0,0,0,0,0,0,1,2.45000000000027,4,8,13.3000000000002,24,39,64,109,201.05,294.124999999998,462.01
26,0,0,0,0,0,0,0,0,0,1,1,3,5,8,13,21,31,49,73,117,216.05,316,486.01
27,0,0,0,0,0,0,0,0,1,2,3,6,10,15,22,32,48,70,103,155,274,406.049999999999,576.030000000001
28,0,0,0,0,0,0,1,2,3,5,8,13,19,27,38,53,73,98,135,192.1,312.05,455.025,662.01
29,0,0,0,0,0,1,2,4,6,10,15,21,30,41,56,72,93,126,170,231,357,487.025,677
30,0,0,0,0,1,2,4,8,12,18,24,33,46,59,75,96,122,157,205.15,279,405.05,536.049999999999,689.030000000001
31,0,0,0,1,3,5,9,14,20,27,35,44,56,72,91,113,142,180,229.15,295.1,441,600.025,815.01
32,0,0,1,3,6,11,18,25,33,44,56,69,84,102,124,148,180,221,274.15,352,505.1,659.025,815.01
33,0,0,2,6,12,19,28,38,50,64,79,96,114,136,162,191,226,269,333,425.1,564.05,702,921.150000000003
34,0,2,5,13,23,33,45,58,72,87,106,127,148,175,204,236,272,319.2,382.15,473.1,659.05,827,1071.11
35,1,4,10,22,36,50,66,84,103,122.6,142,166.5,191,221,254,293,335,394.2,456,558,728.05,894.049999999999,1156.04
36,4,10,21,40,60,78,98,119,142,164,191,215,245,279,315,356,403,459,541.15,645,826.1,986.025,1267.12
37,7.99,17,32,61.9,87,109,133,159,184,210,238,270.5,304,340,380,426,481,542,630,746.1,931.05,1110,1385.12
38,15.99,33,54,94,128,157,188,216,245,277,313,346.5,386,427,473,518.3,575,632,714,834.1,1022,1244.025,1521.06
39,36,61,93,137,175,212,247,283,318,355,392,430,473.45,515,563,611.3,669,750,834.15,961,1192,1383.075,1675.02
40,59.99,92.975,130,191,238,283.8,326,366,403,445,487.55,534,581,631,686,748.3,828.25,908,1012.15,1159.1,1393.05,1645.05,1932.05
