"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,2.22662597490189,8.61606645488365,14.9978192107412,22.1395896581543,29.5192036057474,37.0801928691961,45.5898922963173,54.636194684914,66.0068886565471,87.4080424871595,102.985973078481,120.778390266752
3,0,0,0,0,0,0,0,0,0,0,0,0.580704935686981,7.04402019562987,13.5592932134871,20.7481128779945,28.2754604300984,35.3194535642294,44.4928674890142,54.6126713778035,68.0420633182537,86.8320487924146,105.146429719944,119.945130009338
4,0,0,0,0,0,0,0,0,0,0,0,1.92235042052552,8.67751091553276,15.2209584945068,22.0106953082286,28.905556296153,36.4642449956136,45.3360622182463,54.7577245590583,67.0696135337249,85.7493549871276,104.112924999858,124.093788138236
5,0,0,0,0,0,0,0,0,0,0,0,1.61091023118326,7.62333680077175,14.84639375976,21.1953128361716,28.6230049428902,36.9584774939426,45.9942913498654,56.2911365224022,67.8640507118673,87.4085366472422,104.767729771662,124.410442296732
6,0,0,0,0,0,0,0,0,0,0,0,3.27165243901708,9.31043659640359,16.0603412864511,22.4824360532627,30.1280381918193,37.6090652712096,46.6797281929783,57.0314907820173,68.5287693054361,87.988160556802,104.257790212687,124.270563394743
7,0,0,0,0,0,0,0,0,0,0,0,6.54559554460838,13.3027978834347,19.8928175345404,26.7491794007476,33.7209386286037,41.7868972688039,50.0657821573386,60.6206501866005,72.5172466077727,92.4537303078445,108.317765047097,126.678055146415
8,0,0,0,0,0,0,0,0,0,0,1.37608666940669,7.66403959957661,14.1170064474614,20.9136594882346,27.3075906452218,34.8584610962871,42.8442632185593,52.0015160692675,62.2804481473415,75.865565930229,95.1572212174614,111.462296387353,128.029321840907
9,0,0,0,0,0,0,0,0,0,0.00864642472875274,6.46176668584422,13.2553392010287,19.9557550258647,26.6449297928356,33.9130658318213,40.74804629793,47.8974076001673,56.7857160162089,66.4205660739568,79.0297171141077,99.2216876492636,114.659608452462,134.036731691826
10,0,0,0,0,0,0,0,0,0,6.75373644602036,13.5514072911845,20.1477396614058,25.7097597809395,32.4011608513933,38.5202058000624,45.458213401787,52.3849366266897,61.7736887567942,71.9020505154032,84.9173044249116,103.995529888848,120.54541589915,138.374615655732
11,0,0,0,0,0,0,0,0,6.4624872647189,13.033847038504,19.3911929548149,25.9511742873754,32.0338346919322,38.3645759832932,45.4672648868188,52.8824461143185,60.509175310486,69.4189654635938,79.4191493902567,92.3251926408174,112.06927160586,129.072218852996,148.522357409141
12,0,0,0,0,0,0,4.4698934960244,12.8727801154495,20.1237717277711,26.9835341348219,33.3877582630159,39.9446958656853,46.2042970029398,52.3294681238234,59.7618784951786,67.2304638916089,75.3451652237602,84.6820858306361,93.7992616801232,106.71140439765,125.562362211504,140.733875502075,161.940912203477
13,0,0,0,0,2.07224157844969,11.8264033200843,20.2981721376594,28.4769204879716,36.1438469548412,42.9256062172692,50.4388826996288,56.8403376643426,63.2734460947104,69.3743912803641,75.8869275360189,83.2551542624957,91.1791551376962,98.8877684327266,109.586592414902,123.135314752091,140.840211526328,156.554908302763,176.404905562
14,0,0,0,10.3103893423109,23.0117420330724,33.7128198418919,41.9652397069286,49.5510036479594,55.8136138769386,62.5827720156732,69.3958868738371,76.0225984474552,83.1027625436587,90.0863578925451,97.4508287506192,103.733238851861,111.509098891004,120.740328097712,131.342752203679,143.966316687988,164.384004237862,181.832437396929,199.829627449193
15,0,0,19.8725249850862,38.0206608259669,50.3807727766588,60.9662975989803,69.5444407150692,78.4184358968945,85.6194842785621,93.657747315028,100.528509883767,106.950023454882,113.73796996525,120.8875743074,127.351244945719,135.045530476527,143.764488499367,152.876741770482,163.466501587078,176.298524538141,194.89208632519,210.902709852691,226.904430937923
16,22.9748149840594,43.1536941773078,59.683183810152,78.4789011924454,91.2453238651155,102.619110490619,111.773750898155,119.629751402801,127.646340485023,134.054250087538,140.756583859117,148.267600005627,154.516214002136,162.065207314774,168.806412003036,176.329092858517,184.406186781752,193.204867277507,203.357573399654,216.505924581009,237.668328482143,253.7725611016,273.086492546457
17,72.658416658283,92.1549806234454,110.918987715272,129.215393424157,141.707119581625,152.597619133149,160.306835682311,169.100470608645,176.698547502638,183.632581956703,190.817956704535,197.74610323465,204.02119464242,210.818677434914,217.770139180582,224.827490534177,232.690564030217,242.190899377881,252.804585415632,266.519307828646,286.472080477369,301.352067373332,321.010642612373
18,125.921645391657,148.195388629935,165.284656932673,186.89723026717,200.367509425334,211.494066857334,220.600345106015,228.887531798823,236.972077604773,244.093227733684,250.929207072063,257.856530207769,264.467884333353,271.785258091664,278.491800239084,285.639261179,293.431486115251,302.486716734386,313.112642856056,325.649352928683,343.323912067316,360.278886503992,378.022155366422
19,200.189575479867,218.788525870686,236.292302883783,254.139795534813,268.383127414854,279.241304603325,287.552881327239,296.823877942208,304.960136459648,311.874133743472,319.655701860417,326.279305650239,332.632283052321,339.182546130487,346.429715276949,354.00243230579,361.695313359707,371.845353735478,382.393968961165,395.721395607589,415.645713177139,430.949780386421,448.555565554544
20,267.281380157651,288.516358667894,306.009305575439,326.986767917796,340.54634750886,351.016547436695,360.808112649316,368.309986139813,375.98436072273,383.592820528671,390.599465311928,397.361924624023,404.645025946648,411.265334793544,418.729395440892,426.567504910529,434.724644823809,444.369153332387,454.966946622255,467.411300937976,487.073779756668,504.223831570498,523.714840486785
21,337.135754333211,354.81978352378,373.699886031391,392.603168287379,406.42008485966,417.584160207541,426.391703108717,435.318598791732,443.410655055427,449.98994337613,457.379207689177,464.660708057439,471.113768534426,478.033531060208,484.878507711674,492.677735236498,500.529629111446,510.281673658085,520.795250522226,535.055196090701,555.477623286904,573.166519959729,592.887345356203
22,388.792452237571,410.779419368713,428.207054162143,447.003033883689,459.183616152266,470.980407954537,480.52426839529,489.127348790498,497.394935858033,504.477460098859,511.597268371889,518.599775371693,525.633107298368,533.08551030705,540.852775606042,548.879971051677,556.918246258203,565.975115075154,575.878121104313,588.914151477139,609.084337309657,624.554584833962,647.645707979243
23,421.024940584955,441.061354013845,457.131759492176,479.076388872764,491.972358073053,502.483132804792,511.389109034197,520.083916341289,527.193430176797,534.484189887404,541.236971945296,547.953405681985,554.657066302282,561.79780436452,568.966865921523,576.269306262134,585.475533188981,594.830397177249,606.377541907741,620.519785397114,641.293574013874,657.272109891247,678.571322072072
24,421.224546769717,444.812786567554,463.792575430816,483.139252824145,496.075411292447,506.695005516897,515.338958387004,523.552614143196,531.79884842505,538.767684015079,545.186818548343,551.855764164934,559.083426757665,566.627340756618,573.833335670558,581.821867440787,589.932201624312,599.188970681624,609.468758262333,623.252809670589,645.44634089205,661.214012932638,681.917098787167
25,396.079915428683,417.529150864545,433.58944974913,452.633572815964,466.585761145061,477.357130123726,487.003663371141,494.648999764995,502.302740289171,509.114401913881,517.266573592093,524.21804795719,530.913126495066,537.735098563854,545.450127905378,553.104488396046,561.63156529857,571.567020654212,581.881337998797,595.279930610666,615.804427692292,634.043743569116,651.501253972185
26,345.83755666944,367.221553783323,384.673779118899,404.434774875678,417.761240870245,429.03597448516,438.189842945771,447.343923668519,455.497836229005,461.993896804872,469.558704600369,476.420124065746,483.723671388961,491.695177947327,499.395709170416,507.245718070441,515.394734539058,524.769960123371,535.665968544233,549.238568654842,570.574511859193,588.436134000906,604.740578550616
27,281.23820226901,299.93344419363,317.148424440352,339.64641051507,354.110400195961,365.249341804904,375.221365208344,383.869597082264,392.683700801406,400.060392067276,407.296866425351,414.332050689747,421.618846546123,429.888719385024,437.045761181647,445.482937306348,454.408500143654,464.848121711434,476.835035360724,492.158774714403,511.300421643122,529.239968732764,553.529550077247
28,207.603061457332,226.992904481134,246.204672445133,268.13397936106,283.138769554708,295.29994994497,305.679657674741,314.609175576676,322.065298438265,330.206212264558,338.163084363302,345.853149605844,352.948583017659,360.2888785036,368.373928380535,377.014109176321,385.792498639718,395.826979588034,406.804616686952,420.724149840712,442.731197406319,460.526338855057,484.504594014783
29,140.8372774755,161.514545918833,181.600490035958,202.732167794265,218.758275847005,230.208182862009,240.476996848493,249.292302718113,258.517285749933,266.129594953904,273.528653801962,281.774618274845,289.277095618901,297.208925111666,305.966129093478,314.046755804987,322.824820785171,333.082527931729,345.279964596052,359.540972914688,380.097002745961,398.0807981304,418.416604586565
30,88.5561316198628,107.152937197171,126.079238591061,146.645919149004,160.62868283451,172.746641649909,182.718814253286,191.362775206488,198.745088095955,206.552135247606,213.918020401238,221.150908468256,228.568240073979,235.245939523913,243.143103848372,251.637692642223,260.43276625676,269.562849778352,281.371398031519,297.781393646168,321.43798775738,337.887571465433,358.751720588339
31,33.8279121751711,57.7897602801758,73.6373643399819,94.2516620352205,109.645215631182,120.697859659263,130.619944089063,139.990593320916,148.355592070564,156.352395556232,163.428239061132,169.938150736783,177.505080243563,184.928324596866,192.870207432172,200.868311537008,209.969938554415,219.403905665025,230.969071765292,246.289695070579,266.369134779425,286.124994221366,305.515757571446
32,0,17.8604554834891,37.2753486125542,56.5580559164198,72.2331464063214,82.4570908249212,91.9117362657722,100.341151398764,108.419283089158,116.643720967527,124.175600493809,130.809077741157,137.725108657546,144.935015233037,152.246151661855,160.260867768089,169.376008500123,179.005319789558,190.502612850541,203.352418167842,223.143829791715,241.020031828052,264.036828513243
33,0,0,8.22985187246961,28.6680154422226,41.4811758254932,52.5659436335703,61.1282254286138,69.5478654073141,76.8941330571677,84.3823716024632,91.032886513424,97.456238877315,104.667268846404,111.630956592419,118.151269038549,125.317487187791,133.470636382506,143.785890184569,154.714562579852,167.973189323456,188.96388222469,208.047888644291,225.792789009024
34,0,0,0,3.81808594531786,17.4214566204907,28.2252289342284,36.9068860997955,45.2185254426519,52.6008954994611,60.1271733483991,66.58665878692,73.3724463751634,80.3811123188344,87.0514635144967,94.4813598837655,101.778298316178,110.042009430923,119.347254596505,130.120483098934,143.449138888841,163.988463980765,179.757481573087,201.588669870035
35,0,0,0,0,0,9.1835731882043,18.395128959358,26.2472223735543,33.6745874281314,40.9794547809604,48.0006289661934,54.6799562092585,61.0541388136616,67.6026225230324,74.8412236303187,82.1345281678519,89.6300985901475,98.694522396495,110.118320864868,124.812941499079,144.627268246236,160.13288014624,177.809122160601
36,0,0,0,0,0,0,4.20749806580125,11.9846716215625,19.8130493532333,27.1247792603894,34.1646524499048,40.6626690846058,47.2161193894495,53.639323423632,61.0745252345104,68.7369997857209,76.2921572148763,85.0523308220598,96.0279873908867,108.084014080029,126.030740978529,145.205740997037,164.359266104786
37,0,0,0,0,0,0,0,0.577659740548006,8.02443376581937,14.9640494541823,21.8824805180104,29.6531862064903,36.0204580129306,43.0904225465307,50.0766563070037,57.3529545560429,65.2637080740353,74.0672280779597,85.050004920239,97.7215135710523,115.600588561575,134.638944162808,152.880709972872
