"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,7,9,11,13
3,0,0,1,1,2,3,3,3,4,4,5,5,5,6,6,7,8,8,9,10,12,14,16
4,1,1,2,3,4,4,5,6,6,7,7,8,8,9,9,10,11,12,13,14,16,19,22
5,2,3,4,6,7,7,8,9,10,10,11,11,12,13,13,14,15,16,17,19,22,24,27
6,5,6,7,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,25,28,31,34.0100000000002
7,8,10,12,14,15,16,17,19,20,20,21,22,23,24,25,26,27,29,30,32,36,39,44
8,13,15,17,20,21,23,24,26,27,28,29,30,31,32,33,34,36,37,39,42,46,51,55
9,18,21,24,27,29,30,32,33,34,36,37,38,39,40,42,43,44,46,49,51,56,59,64
10,25,28,31,35,37,39,40,42,43,44,46,47,48,50,51,53,54,56,59,62,66,71,76
11,31,35,38,42,45,47,48,50,52,53,54,56,57,59,60,62,64,66,68,71,77,81,87
12,38,42,45,49,52,54,56,58,59,61,62,64,66,67,69,71,73,75,78,81,87,92,98
13,42,47,50,55,58,60,62,64,65,67,69,70,72,74,75,77,79,81,84,88,93,99,107
14,47,50,54,59,62,64,66,68,70,72,73,75,77,78,80,82,84,86,89,93,99,104,110
15,48,52,55,60,63,65,67,69,71,73,74,76,78,80,81,84,86,88,91,95,101,106,112
16,45.99,50,54,58,61,63,65,67,69,71,73,74,76,78,79,81,84,86,89,93,98,104,109.01
17,42,46,50,54,57,59,61,63,65,67,68,70,71,73,75,77,79,81,84,88,94,98,105
18,37,41,45,49,51,54,56,57,59,60,62,64,65,67,68,70,72,74,77,80,85,91,97.0100000000002
19,31,35,38.95,42,45,47,49,50,52,53,55,56,58,59,61,62,64,66,69,72,77,83,89
20,26,29,32,35,38,40,41,43,45,46,47,48,50,51,53,54,56,58,60,63,68,73,78.0100000000002
21,20.99,23,26,29,31,33,34,36,37,38,39,40,41,43,44,45,47,49,51,54,59,63,68
22,16,18,21,23,25,27,28,29,30,31,32,33,34,36,37,38,40,41,43,46,49,53,58
23,11,14,15,18,20,21,22,23,24,25,26,27,28,29,30,31,33,34,36,38,42,46,50
24,8,10,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,35,38,43
25,5,7,8,10,11,12,13,14,15,16,16,17,18,19,20,21,22,23,24,26,30,33,37
26,3,5,6,7,8,9,10,11,11,12,13,13.5,14,15,16,17,18,19,20,22,25,28,31
27,2,3,4,5,6,7,7,8,9,9,10,10,11,12,13,13,14,15,16,18,21,23,27
28,1,2,2,3,4,5,5,6,7,7,8,8,9,9,10,11,11,12,13,15,17,19,22
29,0,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,10,11,12,14,16,19
