"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,4,4,5,5,6,7,9,10
3,0,0,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,7,8,9,10,12,14
4,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,11,12,14,16,18
5,2,3,4,5,6,7,7,8,8,9,10,10,11,11,12,13,14,14,15,17,19,22,24
6,4,6,7,9,10,11,11,12,13,13,14,15,15,16,17,18,19,20,21,23,26,28,32
7,8,10,11,13,15,16,17,18,19,20,20,21,22,23,24,25,26,27,28,30,33,36,39
8,13,15,17,20,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,40,43,47,51
9,19,22,24,27,29,31,32,33,35,36,37,38,39,40,42,43,44,46,48,51,55,58,64
10,26,29,32,36,38,40,41,43,44,45,47,48,49,50,52,53,55,57,59,62,66,70,76
11,34,38,41,45,47,49,51,52,54,55,56,58,59,60,62,64,65,67,69,72,77,82,89
12,41,45,48,52,55,57,59,60,62,63,65,66,68,69,71,73,75,77,79,82,87,92,99
13,46,50,54,58,61,63,65,67,68,70,71,73,74,76,78,80,81,84,87,90,96,100,107
14,49,54,57,61,64,66,68,70,72,74,75,77,78,80,82,84,86,88,90,94,100,105,111
15,49,53,57,61,64,67,69,70,72,74,75,77,79,80,82,84,86,88,91,95,101,106,113
16,46,51,54,59,62,64,66,68,70,71,73,75,76,78,80,81,83,86,88,92,97,103,109
17,43,47,50,54,57,59,61,63,65,66,68,69,71,73,74,76,78,80,83,86,92,97,103.01
18,36.99,41,44,48,51,53,55,57,58,60,61,63,64,66,67,69,71,73,76,79,84,88,94
19,31,35,38,42,45,46,48,50,51,52,54,55,57,58,59,61,63,65,67,70,75,80,86
20,26,29,32,35,38,39,41,42,43,45,46,47,49,50,51,53,54,56,58,61,65,69,75
21,20,23,26,29,31,33,34,35,36,38,39,40,41,42,43,45,46,48,50,52,56.0500000000002,60,65.0100000000002
22,15,18,20,23,25,26,28,29,30,31,32,33,34,35,36,37,39,40,42,44,48,52,57
23,12,14,16,18,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,37,41,44,47
24,8,10,12,14,15,16,17,18,19,20,21,22,22,23,24,25,26,28,29,31,34,37,41
25,5,7,9,10,12,13,14,14,15,16,17,18,18,19,20,21,22,23,24,26,29.0500000000002,32,37
26,3,5,6,8,9,10,10,11,12,13,13,14,15,15,16,17,18,19,20,22,24,27,30
27,2,3,4,6,6,7,8,9,9,10,10,11,12,12,13,14,14,15,17,18,20,23,26
28,1,2,3,4,5,5,6,6,7,8,8,9,9,10,10,11,12,13,14,15,17,19,21
29,0,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,11,12,15,17,19
