"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,0,0,0.749046623514063,2.44307330756667,4.04164380493939,5.72595152223824,7.30940581885472,9.02961427920136,10.8108107680765,13.0120463129092,15.354144265653,18.413997368617,23.1871498742547,26.8827874806282,31.3418516891418
3,0,0,0,0,0,0,0,0,0,0.366034881182367,2.01719391740135,3.46375570650745,4.86885123564066,6.4576566815945,8.04475414431492,9.8829312940959,11.8197520736292,13.9513283732893,16.0755354210247,19.2204248468258,23.5430577348868,28.070803887843,32.0426959138282
4,0,0,0,0,0,0,0,0,0.149120491216965,1.76855272351203,3.41718484225058,4.86794737277611,6.4664233984236,8.01426431368576,9.78556175162952,11.499809126203,13.4377924766002,15.5762978491489,17.7051366192648,21.0775806878441,25.6224125814303,29.3575117348882,32.9576131417775
5,0,0,0,0,0,0,0,0.405433575902673,2.13829689533731,3.76329395524197,5.27022660910762,6.76981157845629,8.54385032321011,10.0122454201218,11.7308851969055,13.5629786907248,15.3871399278677,17.6200616764922,20.0825840943538,23.1620834523697,27.8760446983513,31.5281699134176,36.7712012676441
6,0,0,0,0,0,0,1.52205460548416,3.37889089092353,5.17860127001847,6.89225822014737,8.54600545216237,10.126870057161,11.5278702018656,13.0897486898673,14.589127221212,16.3871466000375,18.2309712628049,20.2400505826378,22.5737784241999,25.6659411888345,29.6689063026255,33.5828396656298,38.488891136912
7,0,0,0,0,0.832640494559407,3.45845454972928,5.57656262068413,7.4282207333961,9.11124951580537,10.6810281070547,12.1881036176342,13.6633190549691,15.306355134963,16.9554216704049,18.6978333808568,20.3152828596813,22.3320442636851,24.6723948917906,26.8857040207474,30.1196079784427,34.8236252321871,38.392126632708,43.518742280536
8,0,0,0,3.3424033122044,6.50536614643036,9.05496233195272,11.4970723767787,13.3751671789282,15.1529048693991,16.5667935266247,18.2401562095651,19.9789757811026,21.5238375154603,23.1107675101501,24.699156858845,26.4068639452429,28.2725568864909,30.4621294787359,32.9392059499391,35.9415103414312,40.5951143870686,43.9146508996709,48.4795594977634
9,0,2.64860140892811,6.77879885563811,11.11994019729,13.920854735303,16.4631961575253,18.6823869910772,20.5899495524833,22.4366927573621,24.0782843170482,25.9227963689346,27.5470459150631,29.2039919877672,30.7382299583813,32.4876843626045,34.3129944761085,36.192404939308,38.2029820760133,40.9108326835247,44.0675828916,48.3487877178799,52.4996031462361,56.8588346940077
10,6.38580917768025,11.0601435143335,15.3153490908923,20.0353173023146,23.2247975663696,25.8307928105917,28.0558753022194,30.2045399933131,32.0552108653803,33.7379105116898,35.4930347369486,37.0139915095539,38.4436061045651,40.1143374451795,41.7661234897865,43.5743414955071,45.4568149624055,47.5665888610292,50.2073982345736,53.3416252451547,57.8416997453812,62.2333411012177,66.9855824635494
11,16.9705258380393,22.5661280605413,26.5516174196571,31.7805012419965,34.7183611984925,37.2113470592648,39.4459712778071,41.4562181580885,43.2969113709723,45.256325126728,46.8311021497552,48.5405364497545,50.1076057468268,51.8810830340294,53.7270316350419,55.3612357824986,57.5101975478288,59.5356371697102,61.9527165492071,65.3236308911853,69.7968753900104,74.149119367682,78.8694327376972
12,29.2580544398607,33.605678736113,37.8738618302459,42.6336342078086,45.9775027273626,48.8223225028659,51.1200363488858,53.4994828613415,55.3442892797677,57.1252925888144,58.9003163397107,60.7005279792307,62.3265381218329,63.9192394781737,65.7800712474907,67.7570375817157,70.1499690221655,72.560293719749,75.3382917724215,78.6170247700838,83.4986738212413,88.3707563282469,93.3248485357749
13,38.7086563534125,43.9066810829525,49.0891058061941,53.9934776250364,57.5923678877632,60.2771632628358,62.6146946426609,64.6633147125985,66.5728512094387,68.4179968631229,70.2366513534853,71.9180815930426,73.5402737705815,75.3282050522024,77.1898739946336,79.1895565861287,81.3359604978174,83.486964793601,86.1844284802286,89.3004702196633,94.5697264348229,99.2447021041213,103.528367237828
14,48.9152731715526,53.4970782338343,57.7746085478078,62.6587134717039,65.9605378712189,68.6917087426111,71.0020468030698,73.1071096358112,74.9278218652789,76.5518035322527,78.5968059399022,80.5739750522228,82.2819628607484,84.0346152672782,85.9431692820108,87.93409449353,89.6996894206492,92.2278031250909,94.9851521954935,98.2228583570582,103.395469710636,108.214300337121,112.377044249682
15,53.2541863792637,57.9444219898635,61.9328665610819,66.8552146426582,69.9415977967214,72.7682140197093,74.7945101064071,76.9164241923836,78.7303368735057,80.5406887859427,82.3875092930303,84.1013837776754,85.6723051195393,87.4460947354372,89.3145166488411,91.2246923696795,93.297103961556,95.4408255115119,98.2473286011025,101.442574054816,106.081224856427,110.367340422727,115.320277933583
16,50.6553724013047,55.3437821401049,59.7111085130159,64.6204939203916,67.7066745732638,70.8365140650221,73.0123598982679,74.8940483471989,76.8622246781193,78.7916210141087,80.5440761300357,82.1641675631776,83.7085731173404,85.4351948189989,87.1272157614545,88.9905704783295,91.1271401758739,93.4551863600026,96.2566710831137,99.5651198048935,104.341417068162,108.22233220839,113.01562658798
17,42.1603094498194,47.7696318140842,51.957988756465,57.0519342159336,60.5723468621035,63.1500723656975,65.1571303219071,67.2965720680101,69.2869918729906,70.9060478003983,72.6883746134835,74.4452454577321,76.124035950233,77.9901572231813,79.7159734572414,81.7553167650472,83.8370074226639,86.0329372984269,88.7079868046785,92.0846019600838,96.7295383879351,101.298543192192,106.509758091891
18,30.5668943583443,35.7794423612137,40.8711729782999,46.0584336757694,49.5561521745325,52.2871081097202,54.3573613164381,56.4147899501574,58.230319851462,60.1962163007795,62.1251085386136,64.0452168417042,65.8798932421085,67.7922834920795,69.512510176062,71.3791237513313,73.4682683044929,75.9922885738073,78.861299013778,82.5775630182741,86.996023269871,91.8968345189217,97.3769822862717
19,19.4251256855793,24.3722243289636,29.4586635715895,34.0402493952299,37.4280377965813,40.0121246466935,42.3650152122339,44.3041726478021,46.4415150031976,48.3650229561269,50.2586582633069,51.818449916537,53.5876112181249,55.4602096671995,57.4070552234036,59.3903646051785,61.3133737667214,63.860752862156,66.4601005063838,70.033573510202,75.0487532005854,79.8326105924651,85.6914631938985
20,7.59904827165404,13.1979309700814,17.2762230191559,22.1074400802868,25.6142241177256,28.307272390068,30.578345436083,32.5154757188275,34.611303722933,36.4035750873947,38.2933397121524,39.9502637097348,41.6345881345564,43.4898196792197,45.4556575367753,47.5918974319735,49.6641407975255,51.8518431514592,54.5860103636896,57.9188868211691,62.9029220953289,67.6812412662815,73.0486434129232
21,0,3.47619432283818,7.43878198161387,12.5011154656769,15.9815633098306,18.8470592197384,20.9367380232535,23.0131156614325,24.8665567869367,26.8696571083945,28.7001051532687,30.3029084436001,32.1063646226063,33.6453767304934,35.475452311149,37.305446582616,39.2117401633898,41.5373844153415,43.8802761529686,47.1179840538056,52.1237612158614,56.3209094033761,61.2013894898878
22,0,0,0.610631640578289,5.49611527920625,8.46816977864649,10.956649796259,13.2111819404399,14.9389466156185,16.7373346474563,18.6712251311936,20.2159350828679,21.9139439303177,23.5369083200174,25.1961218124575,27.0353330443909,29.1094665381266,31.1327562957782,33.4508072219209,36.1333226964462,38.9542167730084,43.4357336001923,47.6552019023112,52.8627353487632
23,0,0,0,0,2.52770913908136,4.96383742090764,7.1810095555419,9.27198616101445,10.841143303067,12.4257608641422,14.0702134308355,15.6821103807983,17.3123348635423,18.772311164957,20.390545817314,22.0528683823351,24.0312494022976,26.225180774245,28.9549474004943,32.0492307414357,36.6566205118728,40.6710563093971,45.2862485065148
24,0,0,0,0,0,0.588692791883689,2.72482880936208,4.57976835730357,6.47102943982426,8.04294303401531,9.71423530613546,11.4118109139221,13.0538394336516,14.6434210969488,16.2002379700464,18.0339455211833,19.9047990878752,22.0127721910971,24.6338038399529,27.9813445168613,32.627511444589,36.640298347061,40.5693373934044
25,0,0,0,0,0,0,0,0.853710512495577,2.59997155606822,4.25425112103246,5.85900010549598,7.50912000499691,9.17327264099488,11.0297411403036,12.6709799793364,14.422904103833,16.2106313943555,18.3646796052386,20.8000471038903,24.0438228544524,28.1057093248375,32.0710400077917,37.3845992508866
26,0,0,0,0,0,0,0,0,0.662517035459391,2.32746683046078,4.11147785495736,5.68496652783303,7.31654909876085,8.85932718791035,10.5484123358166,12.1204186432954,14.0928401890621,16.2886244603106,18.6279250603684,21.8904850416089,25.938739486552,30.0221301786986,34.8032744455158
27,0,0,0,0,0,0,0,0,0,0.729059481586297,2.21604482924059,3.7862016223097,5.38942078618848,7.00014727931715,8.7581615513303,10.5002562389617,12.3632532237501,14.3125962756846,16.6657835580553,19.7088363672663,24.2377761186385,28.446760222943,33.1183192767202
28,0,0,0,0,0,0,0,0,0,0,1.45955683584339,2.98103701301557,4.57051602223585,6.03455603742883,7.72434101138728,9.30261503538655,11.0510728966643,13.1551512758406,15.5258941060512,18.7132961339807,22.9378472283657,26.9343917583169,31.8093792181628
29,0,0,0,0,0,0,0,0,0,0,0.271698066646908,1.80103601881184,3.40095421853229,5.08256115731523,6.73962240489545,8.49798388814002,10.2700387491785,12.3058381353357,14.8507016185828,18.2968829817996,22.5006055788542,26.1125978115904,31.1857452736116
