"time_step","q1.0","q2.5","q5.0","q10.0","q15.0","q20.0","q25.0","q30.0","q35.0","q40.0","q45.0","q50.0","q55.0","q60.0","q65.0","q70.0","q75.0","q80.0","q85.0","q90.0","q95.0","q97.5","q99.0"
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,0,0.818495180481043,1.89828976236068,3.03041877276501,4.19482168823448,5.26822295874562,6.40357063921722,7.59597146621012,8.85600675194274,10.2646835879288,11.770867822241,13.8289381848044,17.1294514911891,19.947382241644,23.2610958768379
3,0,0,0,0,0,0,0,0.374625454073498,1.51541866261114,2.66051232267886,3.69786199977452,4.81986071582459,5.88565176051079,7.03258681594654,8.16185819155842,9.47188492779405,10.5889148840264,12.0484862653482,13.7714438815986,15.7971025816673,18.790681436575,21.4504465879112,25.0368556522117
4,0,0,0,0,0,0.481404794487256,1.98065878266113,3.20837777297466,4.37737932895408,5.53365490290282,6.5708775786718,7.60666496508763,8.65389599422614,9.73206878247134,10.893874814879,12.091077722348,13.4912505780706,14.8553638368197,16.6334358832982,18.5041272406875,21.5831258017884,23.8705245620213,26.5655927345348
5,0,0,0,0.861806695524962,2.83730271052282,4.34716039000458,5.84568701017171,7.08562218917993,8.22297929075909,9.38440092889728,10.4816530133038,11.4472233429403,12.4821888492017,13.7707219057527,14.8353089580092,16.1147889104662,17.362579303073,18.8206684797568,20.6541199930616,22.6129036748702,25.6393633134052,28.0838365434828,31.122777758483
6,0,0.131126369961196,2.70927482690082,5.61009485463759,7.55425354410666,9.20019729529526,10.6729873545612,12.1290736404579,13.3346054649582,14.5344708404457,15.5845695182179,16.718403772833,17.7131569757406,18.9179969133924,19.9959800639124,21.1371724274569,22.3101797799075,23.8214140501908,25.4386100798053,27.4778852786941,30.7795505592305,33.5288910006157,36.5288163737956
7,3.24173567170968,6.027994608654,8.63510634011364,12.106723893,14.4070446794899,16.057533895515,17.4581066164154,18.7777575788854,19.9844914540263,21.0529926732129,22.2457041951634,23.3021547395893,24.3432784668041,25.4089995003639,26.5720057349229,27.80477534382,29.2612463295769,30.6470000241977,32.3829177267091,34.7695019099249,38.0777840357633,40.8586574715355,43.4175873943138
8,10.0975915591995,13.2720784214796,16.0489668255516,19.5974333650448,21.9994075293635,23.8104487585678,25.3655958619573,26.6798908600159,27.8268948189557,29.0824569189628,30.2167156324029,31.3114121215454,32.480498422625,33.6064847083651,34.9098886410049,35.9876103060655,37.3633785563969,38.9773623204985,40.6962455330551,42.9993384473068,46.208048716688,48.7695841926238,52.145491396857
9,19.6566586423131,22.9518982293944,25.8913188717654,29.3244062084407,31.3079251859778,32.9322857551712,34.458731092297,35.8521651611577,37.0470966077201,38.3457093590411,39.5184840217116,40.6918727002754,41.8755823477769,42.9807505834116,44.1049134880763,45.4925111728427,46.9149468512851,48.323263671818,50.1435824376189,52.4109940410681,55.3661471696754,58.1025525040295,61.6241499213525
10,29.8652344671541,32.7846787905259,35.6036650698898,38.8787611420322,41.2807023094973,42.9976189013352,44.6127561675795,45.9147715781289,47.2958524080389,48.3410297770027,49.4990041095205,50.7037317777017,51.7498586316869,53.0542356866637,54.2927601658194,55.6017772948123,56.9811456265393,58.4772485337693,60.1010954770791,62.2763031889194,65.6395738655704,68.6701805231866,71.7951157343705
11,38.6259657569665,42.2476667736348,44.8770171666915,48.4058254882722,50.5812395617521,52.2723302098841,53.7260619335195,55.1201552829535,56.4636504553029,57.7364925117263,58.7661201154935,59.9198378050737,60.9978200591075,62.1315457902952,63.2522521217399,64.6388309947014,65.9409491656692,67.4978541621102,69.1939498193266,71.3076904618255,74.4796797050944,77.3991241414404,80.4923027170805
12,47.4185839459258,50.1720959578929,53.1604207101781,56.1335158034549,58.5656467142467,60.3846882551347,61.9867198412779,63.3128512447848,64.716757141558,65.8256377654933,67.1005352964108,68.292162501039,69.3438794720713,70.5546337178898,71.8301606919673,72.9735231927981,74.3227819834603,75.8403703081301,77.6806956945807,79.8750473555547,83.176188654835,86.2182306234961,90.3289261732975
13,52.6633795771528,55.91093214141,58.6319703474367,62.0926105330971,64.4491575585815,66.1817915327855,67.7750069459138,69.0960008007547,70.4072582239811,71.6286911065294,72.7794097262102,73.9553469280453,75.1432885140488,76.3710713367965,77.6051565986234,78.6997501758703,80.0617388057901,81.5577781900418,83.4400535376596,85.7038082651214,89.3431171098621,91.7473888697534,94.5783331139251
14,55.2346778545471,58.3011048668007,61.4182742518703,64.5223794225991,66.5189423789501,68.3542174769249,69.9897214931511,71.2999672029006,72.6197097271526,73.8775942537556,75.0750346970514,76.2422754829892,77.3730640695796,78.6966428665808,79.909832699004,81.1317085115138,82.4866435264189,84.0791625377405,85.7881817195982,88.0349778478455,91.2420370061758,94.0747322715229,97.983759269841
