Week,q0.010,q0.025,q0.050,q0.100,q0.150,q0.200,q0.250,q0.300,q0.350,q0.400,q0.450,q0.500,q0.550,q0.600,q0.650,q0.700,q0.750,q0.800,q0.850,q0.900,q0.950,q0.975,q0.990
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,10,11,12,14,17,20
3,1,2,3,4,5,6,7,7,8,8,9,10,10,11,12,13,14,14,16,18,20,23,26
4,3,4,5,7,8,9,10,11,11,12,13,14,14,15,16,17,18,19,21,23,26,29,33
5,5,7,8,10,11,13,14,15,15,16,17,18,19,20,21,22,23,24,26,28,32,35,40
6,7,10,11,14,15,17,18,19,20,21,22,23,24,25,26,27,28,30,31,34,38,41,45
7,11,13,15,18,20,21,22,24,25,26,27,28,29,30,31,32,34,35,37,40,44,48,53
8,15,17,20,22,24,26,27,28,30,31,32,33,34,35,36,38,40,41,43,46,50,54,59
9,18,21,23,26,28,30,32,33,35,36,37,38,40,41,42,44,45,47,49,52,57,61,67
10,22,25,28,32,34,36,37,39,40,42,43,44,45,47,48,50,52,54,56,59,64,69,74
11,26,30,33,36,39,41,42,44,45,46,48,49,51,52,54,55,57,59,62,65,71,75,81
12,29,33,36,40,43,45,47,48.5,50,51,53,54,56,57,59,61,63,65,68,71,77,82,88
13,33,37,40,44,47,49,51,53,54,56,58,59,61,62,64,66,68,70,73,76,81,86,92
14,35,40,43,47,50,52,55,57,58,60,61,63,65,66,68,70,72,74,77,81,86,92,98.5
15,38,42,46,50,53,55,57,59,61,62.5,64,66,67,69,71,73,75,77,80,84,90,95,101
16,39,43,46,51,54,56,58,60,62,64,65,67,69,71,72,74,77,79,82,86,91,96,101
17,38,42,46,50,53,56,58,60,61,63,65,66,68,69,71,73,75,78,81,84,90,95,102.5
18,35,40,43,48,51,53,55,57,58,60,62,63,65,67,68,70,72,74,77,81,87,93,99
19,33,36,39,43,46,48,50,52,54,55,57,58,60,62,63,65,67,69,72,76,81,87,92
20,27,31,34,38,40,43,45,46,48,49,51,52,54,55,57,59,61,63,65,68,73,78,84
21,21,25,27,31,34,35,37,39,40,41.5,43,44,45,47,48,50,52,54,56,60,65,69,75
22,16,19,22,25,27,29,30,32,33,34,35,37,38,39,41,42,44,46,48,51,55,59,65
23,11,14,16,18,20,22,24,25,26,27,28,29,30,32,33,34,35,37,39,42,46,50,55
24,7,9,11,13,15,16,17,18,20,20,21,22,23,24,25,27,28,30,31,33,37,41,44
25,4,6,7,9,10,11,12,13,14,15,16,17,17,18,19,20,21,23,24,26,30,33,37
26,2,3,4,6,7,8,9,10,10,11,12,12,13,14,15,16,17,18,19,21,24,27,31
27,1,2,2,4,4,5,6,6,7,8,8,9,10,10,11,12,13,14,15,17,19,22,25
28,0,1,1,2,3,3,4,4,5,5,6,6,7,8,8,9,10,11,12,13,16,19,22
29,0,0,0,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,9,10,13,15,18
