Week,q0.010,q0.025,q0.050,q0.100,q0.150,q0.200,q0.250,q0.300,q0.350,q0.400,q0.450,q0.500,q0.550,q0.600,q0.650,q0.700,q0.750,q0.800,q0.850,q0.900,q0.950,q0.975,q0.990
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,0,0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5,5,6,7,8,10
3,0,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,7,7,8,9,10,11,13
4,1,2,3,3,4,5,5,6,6,6,7,7,8,8,9,9,10,10,11,12,14,16,18
5,3,4,5,6,7,8,8,9,9,10,10,11,12,12,13,13,14,15,16,17,19,21,23.5
6,6,7,9,10,11,12,13,14,14,15,15,16,17,17,18,19,20,21,22,23,26,28,31
7,10,12,13,15,17,18,19,19,20,21,22,23,23,24,25,26,27,28,29,31,34,36,39
8,16,18,20,22,23,25,26,27,28,29,30,30,31,32,33,34,35,36,38,40,43,46,49
9,22.5,25,27,29,31,33,34,35,36,37,38,39,40,41,42,43,45,46,48,50,54,58,62
10,30,32,35,38,40,41,43,44,45,46,47,49,50,51,52,53,55,57,58,61,64,68,73
11,36,39,42,46,48,49,51,52,54,55,56,57,58,60,61,62,64,66,68,71,74,78.5,83
12,42.5,46,49,52,55,56,58,60,61,62,64,65,66,68,69,71,72,74,76,79,83,88,92
13,47,50,53,57,60,62,64,65,67,68,69,70.5,72,73,75,76,78,80,82,85,90,93,98
14,49,53,56,59,62,64,66,68,69,70,72,73,75,76,78,79,81,83,85,88,92,96,101
15,49,53,56,60,62,64,66,67,69,70,72,73,75,76,77,79,81,83,85,88,92,96,101.5
16,47,51,53,57,59.5,61,63,65,66,68,69,70,72,73,74,76,77,79,81,84,88,93,97
17,43,47,49,53,55,57,59,60,62,63,64,66,67,68,69,71,73,75,77,80,84,87,92
18,38,41,44,47,49,51,53,54,55,57,58,59,60,61,63,64,66,67,69,72,76,80,85
19,33,35,38,41,43,44,46,47,48,50,51,52,53,54,56,57,59,60,62,65,68,71,75
20,26,29,31,34,36,38,39,40,41,43,44,45,46,47,48,49,51,52,54,56,60,63,67
21,21,24,26,28,30,31,33,34,35,36,37,38,39,40,41,42,43,45,46,48,52,55,59
22,17,19,21,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,42,45,48,51
23,12,14,16,18,20,21,22,23,24,25,26,26,27,28,29,30,31,32,33,35,38,41,45
24,9,11,12,14,16,17,18,18,19,20,21,22,22,23,24,25,26,27,28,30,32,35,39
25,7,8,9,11,12,13,14,15,15,16,17,17,18,19,20,20,21,22,23,25,27,30,32
26,5,6,7,8,9,10,11,12,12,13,14,14,15,15,16,17,18,19,20,21,23,25,28
27,3,4,5,6,7,8,8,9,10,10,11,11,12,12,13,14,14,15,16,18,20,22,25
28,2,3,4,5,5,6,7,7,7,8,8,9,9,10,11,11,12,13,14,15,17,18,21
29,1,2,2,3,4,5,5,6,6,6,7,7,8,8,9,9,10,10,11,12,14,16,18
