Q_0.010,Q_0.025,Q_0.050,Q_0.100,Q_0.150,Q_0.200,Q_0.250,Q_0.300,Q_0.350,Q_0.400,Q_0.450,Q_0.500,Q_0.550,Q_0.600,Q_0.650,Q_0.700,Q_0.750,Q_0.800,Q_0.850,Q_0.900,Q_0.950,Q_0.975,Q_0.990
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,8,9,10
0,1,1,2,3,3,3,4,4,4,5,5,5,6,6,7,7,8,8,9,11,12,14
1,2,3,4,4,5,5,6,6,7,7,8,8,8,9,9,10,11,12,13,14,16,18
3,4,5,6,7,8,9,9,10,10,11,11,12,12,13,14,14,15,16,17,19,21,24
6,7,8,10,11,12,12,13,14,15,15,16,16,17,18,19,19,20,22,23,25,27.5,30
10,11,13,15,16,17,18,19,20,20,21,22,23,23,24,25,26,27,28,30,33,36,39
14,16,18,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,39,42,45,48
21,23,25,28,29,31,32,33,34,35,36,37,38,39,40,41,42,44,46,48,51,54,58
27,30,33,35,37,39,40,42,43,44,45,46,47,48,49,51,52,53,55,58,61,65,68
34,37,40,44,46,47,49,50,52,53,54,55,56,57,59,60,62,63,65,68,72,75,80
41,45,47,51,53,55,57,58,59,61,62,63,65,66,67,69,71,72,74.5,77,82,85,90
47.5,51,54,57,59,61,63,65,66,67,69,70,71,73,74,76,77,79,82,85,89,93,100
50,54,57,61,63,65,67,69,70,72,73,75,76,77,79,80,82,84,86,89,94,99,103
52,55,58,62,65,67,69,71,72,73,75,76,78,79,81,82,84,86,88,91,96,101,105
50,54,57,61,63,65,67,68,70,71,73,74,76,77,79,80,82,84,86.5,90,95,99,103
47,50,53,57,59,61,63,64,66,67,68,70,71,73,74,76,77,79,81,84,89,93,98
41,45,48,51,53,55,57,58,60,61,62,63,65,66,67,69,70,72,74,77,81,86,91
34.5,38,40,44,46,48,49,50,52,53,54,55,57,58,59,61,62,64,66,68,72,76,80
29,32,34,37,39,40,42,43,44,45,46,47,48,50,51,52,53,55,57,59,63,66,71
23,25,27,30,31,33,34,35,36,37,38,39,40,41,42,43,45,46,48,50,54,57,61.5
17,19,21,23,25,26,28,29,30,31,31,32,33,34,35,36,38,39,41,43,46,49,52
13,14,16,18,20,21,22,23,23,24,25,26,27,28,29,29,30,32,33,35,38,41,44
9,11,12,14,15,16,17,18,19,19,20,21,21,22,23,24,25,26,27,29,32,34,37
6,7,9,10,11,12,13,14,15,15,16,16,17,18,18,19,20,21,22,24,26,28,31
4,5,6,7,8,9,10,10,11,12,12,13,13,14,15,15,16,17,18,19,22,24,26
2,3,4,5,6,7,7,8,8,9,9,10,10,11,12,12,13,14,15,16,18,20,22
1,2,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,12,13,15,16,19
1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,10,11,12,13,16
0,0,1,2,2,2,3,3,3,4,4,4,5,5,6,6,6,7,8,9,10,12,13
0,0,0,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,7,9,10,12
0,0,0,0.5,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,6,7,8,9.5
