Q_0.010,Q_0.025,Q_0.050,Q_0.100,Q_0.150,Q_0.200,Q_0.250,Q_0.300,Q_0.350,Q_0.400,Q_0.450,Q_0.500,Q_0.550,Q_0.600,Q_0.650,Q_0.700,Q_0.750,Q_0.800,Q_0.850,Q_0.900,Q_0.950,Q_0.975,Q_0.990
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,12,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,11,17,26
0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,10,17,23,35
0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,6,7,9,12,16,23,29.5,40.5
0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,10,11,14,17,21,30,38,48.5
0,0,0,1,2,3,4,5,6,7,8,9,10,12,14,16,18,21,24,30,38,46,59
0,1,1,3,4,6,7,8,10,11,13,15,16,18,21,23,26,29,33,39,49,59,73
1,2,4,7,9,11,13,15,16,18,20,22,25,27,30,33,36,40,45,52,63,74,87
3,6,8,12,15,18,20,22,25,27,29,32,34,37,40,44,48,53,58,65,79,92,108
8,11,15,20,24,27,30,33,37,39,43,46,49,52,56,60,64,69,75,84,98,111,129
16,21,25,32,37,41,45,49,52,55,58.5,62,65,69,74,78,83,89,96,106,123,138,156
25,31,37,45,52,57,62,66,70,74,79,83,87,91,96,101,107,113,120.5,130,148,168,188.5
39,46,55,64,71,77,82,87,92,96,101,105,110,115,121,127,133,141,150,162,181,199,227.5
59,66,76,87,96,103,109,114,119,125,131,136,141,147,153,159,167,175,186,199,220,240,266.5
80,90,103,116,125,132,139,146,151,158,165,170,176,182,189,195.5,204,214,226,241,265,290,319
104,118,130.5,146,157,166,174,181,188,195.5,202,209,215,222,230,238,247,258,269.5,285,310.5,335.5,368
130,148,162,179,192,203,211,219,226,234,241,249,256,264,272,281,290.5,301,315,331.5,357,383,414
166,182,199,220,233,245,254,263,271,278,285,293,301,309,318,327,337,349,364,381,407,437,470.5
199,220,237,258,271,283,293,303,312,321,329,339,347,355,365,375,386,399,413,432,464.5,490,522.5
227,249,268,291,307,319,330,339,349,357,366,375,384,394,404,415,425,439,454,474,505,535,574
259,281.5,303,324,341,354,365,374,384,393,403,413,422,432,442,451,463,477,492,511,543.5,571,605
285,304,322,346,362,375,387,398,408,418.5,428,437,448,457,468,479,490,504,520.5,542,575,608.5,650
284.5,311.5,335,359,375,389.5,400,412,422,433,443,452,461.5,472,482,494,506,520,538,560,595,623,658
290,314,334,356,374,387.5,400,411,423,433,442,453,463,473,484,496.5,509,523,539,561.5,592,620,662.5
275,300,322,348,364,379,390,402,413,423,433,443,451,462,473,485,497,510,528,550,583,615,654.5
262,282.5,302,326,343,356,367,378,388,398,408,417,426,436,446,457,470,483,501,523,552,580,617
229,248,266,290,306,319,331,341,351,362,371,380,388,398,409,421,432,446,462,483,513,547,583.5
196,216,235,257,273,284.5,295,303,313,321,330,338,346,355,364,374,385,398,413,432,464,489,522
162.5,183,197,217,230,240.5,250.5,260,268,277,284,292,300,308,317,326,337,348,362,380,408,438.5,473.5
134,148,163,180,192,202,210,217,226,233,241,249,256,263.5,271,280,290,301,313.5,330.5,358,385,415.5
105,119,132,148,159,168,175,183,190,196,202,209,217,224,231,240,248,259,270,287,311.5,332,359
80.5,92,103,117,126,134,141,147,153,160,166,172,178,185,192,199,207,216,226.5,241,263,286,311.5
61,69,78.5,90,99,106,112,118.5,125,130,135,141,147,153,159,165,173,181,191,204,229,246,271
42,50,59,69,78,84,89,94,99,104,108,113,118,123,128,135,141,149,159,172,191,208,232
29,37,43,52,58,64,68,73,77,81,86,90,95,100,105,110,116,123,132,143,162,177.5,197
19,25,30,38,43,48,52,56,60,64,68,72,76,80,85,90,95,102,109,119,137,153,171
12,17,21,27,32,36,39,43,46,50,53,57,60,64,67,72.5,78,83,90,99,112,129,148
6,10,14,18,22,25,29,32,34,37,40,43,47,50,54,58,62,67,74,82,97,109,125.5
3,6,9,12,15,18,20,23,26,29,31,34,37,40,44,47,51,55,61,70,83,97,113
2,3,5,8,10,12.5,14,16,19,21,23,25,28,31,33,37,40,44,50,57,70,82,100
0,1,3,5,6,8,10,12,13,15,17,19,21,24,26,29,32,36,41,48,59,69,83
0,1,1,3,4,6,7,8,10,12,13,15,17,19,21,24,27,31,36,42,54,65,79
